"Latest: Wavelength (nm)","Run 1: Absorbance","Run 2: Absorbance","Run 3: Absorbance","Run 4: Absorbance","Run 5: Absorbance","Run 6: Absorbance","Run 7: Absorbance","Run 8: Absorbance","Run 9: Absorbance","Run 10: Absorbance","Run 11: Absorbance","Run 12: Absorbance","Run 13: Absorbance","Run 14: Absorbance","Run 15: Absorbance","Latest: Absorbance"
"404.5","-0.00540022283033","-0.00177773638344","-0.00158673293047","-0.00302166808141","-0.00510259940706","-0.00154315205669","-0.00355700646931","-0.000581903853751","-0.00281544504344","-0.00370844447506","0.000542446102135","-0.000691550032647","-0.00109403629316","0.000139562655841","-0.000465072561476","-0.00232033721799"
"405.3","-0.00527550991848","-0.00138085708202","-0.00147863834615","-0.0033012190829","-0.00515432427886","-0.00146133529117","-0.00434530442321","-0.000186532582407","-0.00321157292629","-0.00331488423787","0.00065442703499","0.000179936630341","-0.000591396360608","-7.79650893841E-05","-0.000700034833558","-0.00277595330939"
"406","-0.00518236112648","-0.00177184397303","-0.00181204540347","-0.00379541129399","-0.00520077933986","-0.00152949478406","-0.00559826978121","-0.000467197159233","-0.00281675028021","-0.00382985027466","8.10516832668E-05","-0.000742475285589","-0.00100279728311","-0.000920846622797","-0.000669101974791","-0.00349525746809"
"406.8","-0.00537709826086","-0.0020302407181","-0.00220809791177","-0.00407523342563","-0.00561703256956","-0.00281267123106","-0.00552154325496","-0.000834951029243","-0.00304111989794","-0.0036350906655","-0.000338466342334","-0.00170088604419","-0.00108927436656","-0.0013884530654","-0.00113886601622","-0.00381447329727"
"407.5","-0.00580999096686","-0.00287549905974","-0.00273407656895","-0.00414225781961","-0.00543011497927","-0.00314715908731","-0.00538522172808","-0.00153730853725","-0.00326276477333","-0.00423355726812","-0.000928861372691","-0.0030822651915","-0.00173148461529","-0.00180837683876","-0.00124648349411","-0.00401059122769"
"408.2","-0.00557709492578","-0.00276738560952","-0.00297616199015","-0.00416336027758","-0.00598050488861","-0.00357005853014","-0.00455339339067","-0.00200250265338","-0.00379301271106","-0.00418884617795","-0.00117589736475","-0.00306233276799","-0.00228037752347","-0.00213222868695","-0.0018795080741","-0.00443781879883"
"409","-0.00571485784266","-0.0024837877354","-0.0029179850538","-0.00383323705814","-0.00592265580669","-0.00284132172463","-0.00517424174791","-0.00181702303534","-0.00389493383924","-0.00459855391567","-0.00118208208715","-0.00309781537217","-0.00223683019366","-0.00264768284786","-0.00218512570941","-0.00427169696265"
"409.7","-0.00548966102841","-0.00222992488322","-0.00270714246228","-0.00424739558802","-0.0060885060945","-0.00275290675647","-0.00518411468411","-0.00176433632545","-0.0039980664105","-0.00499843176685","-0.000881449017864","-0.00325490010511","-0.00263255220842","-0.00316494351616","-0.00216057231857","-0.0041952276082"
"410.5","-0.00533540373528","-0.00275873036462","-0.00239922915918","-0.0040728874875","-0.00594057133416","-0.00257404348376","-0.00553960561705","-0.00153341993649","-0.00413700579286","-0.00492266443734","-0.00114577091542","-0.00348744426109","-0.00295062318792","-0.00295869805392","-0.00218950046065","-0.00410912943194"
"411.2","-0.00565034048208","-0.00341516240894","-0.00223832414008","-0.00482585446829","-0.00616412723678","-0.00290508483381","-0.00514929326278","-0.00225854998255","-0.00422939730757","-0.00519518978251","-0.00144880864637","-0.00366918313362","-0.00378542047498","-0.00309522476391","-0.0023462309667","-0.00507758064715"
"412","-0.00552680457501","-0.00398846148979","-0.00277477743375","-0.00499310326169","-0.006680269725","-0.00355234272392","-0.00571405821206","-0.00261699716944","-0.00498410846191","-0.00554148969028","-0.00212842758486","-0.00391700119261","-0.00418421921777","-0.00333821423647","-0.0028420321818","-0.00558437405947"
"412.7","-0.00575085279985","-0.00377133668034","-0.00313146829907","-0.00511907257341","-0.00649747535334","-0.00398579136403","-0.00577024152114","-0.00283072875875","-0.00538358878627","-0.00552695373634","-0.00189086980747","-0.00375169010893","-0.0037835451734","-0.00425999763063","-0.002656279765","-0.00508345392917"
"413.5","-0.00548017189695","-0.00385261798182","-0.00299119387704","-0.00504357458535","-0.00593891193139","-0.00407617650898","-0.00624063454938","-0.00213947552204","-0.00559234256521","-0.00570024461209","-0.00163300797398","-0.00412536466062","-0.00331432300674","-0.00450818109028","-0.00239640873122","-0.00450485273287"
"414.2","-0.00561700984583","-0.00410412150477","-0.00293370296116","-0.00511677703247","-0.00572168010468","-0.00373128340641","-0.00642194135216","-0.00230086680896","-0.00564983312801","-0.00499804555526","-0.00166481605602","-0.00425561479199","-0.00329402608379","-0.00498218484504","-0.00240997673487","-0.00436925495302"
"415","-0.00545817195519","-0.0040177572953","-0.00250222659846","-0.00459991878641","-0.00546317660417","-0.00326856118769","-0.00610893457702","-0.00219666197379","-0.00519099521839","-0.00429424378024","-0.00124054661691","-0.00428780337925","-0.00324628886029","-0.00408061303166","-0.0023271246904","-0.00403016269341"
